Case n m Best 
a_1 500 50 7833.83252 
a_2 500 50 7771.66162 
a_3 500 50 7759.35986 
a_4 500 50 7770.2417 
a_5 500 50 7755.23096 
a_6 500 50 7773.70996 
a_7 500 50 7771.73096 
a_8 500 50 7750.88135 
a_9 500 50 7770.0708 
a_10 500 50 7780.35059 
b_21 2000 20 11299894.86 
b_22 2000 20 11286775.59 
b_23 2000 20 11299940.87 
b_24 2000 20 11290874.16 
b_25 2000 20 11296066.66 
b_26 2000 20 11292295.89 
b_27 2000 20 11305676.85 
b_28 2000 20 11279916.06 
b_29 2000 20 11297188.33 
b_30 2000 20 11296414.93 
c_1 3000 300 24884110 
c_2 3000 300 24905330 
c_8 3000 400 43437261 
c_9 3000 400 43437861 
c_10 3000 400 43476251 
c_13 3000 500 67014051 
c_14 3000 500 66979606 
c_15 3000 500 66992877 
c_19 3000 600 95633549 
c_20 3000 600 95643586 
